,ground_truth,baseline,baseline_s42,baseline_s985,filt_freq_distro,filt_freq_distro_s42,filt_freq_distro_s985,filt_gen_sent,filt_gen_sent_s42,filt_gen_sent_s985,filt_tgt_ppl,filt_tgt_ppl_s42,filt_tgt_ppl_s985
109,3,2,2,1,3,1,2,2,2,2,3,3,1
110,2,0,0,0,2,2,2,2,1,2,1,0,0
111,1,0,0,0,2,2,2,3,3,3,2,2,2
112,0,0,0,0,0,1,2,3,2,2,1,1,1
113,1,0,1,0,1,1,2,2,1,2,2,1,1
114,0,1,1,0,2,2,2,2,2,2,2,2,2
115,2,0,0,0,1,1,0,0,0,0,1,1,1
116,0,0,0,1,1,2,2,2,3,2,1,1,2
117,4,1,0,2,2,0,2,2,1,1,2,4,1
118,0,0,0,0,0,0,0,2,2,0,1,0,1
119,1,0,0,0,2,2,2,1,1,1,0,2,1
120,1,0,0,0,2,1,2,1,1,2,1,1,1
121,1,0,0,1,0,1,1,1,1,1,0,0,0
122,3,2,3,2,2,2,2,4,4,2,4,4,3
123,3,2,1,2,1,1,1,2,2,2,2,2,3
124,2,2,2,2,2,2,2,1,0,1,3,2,2
125,2,2,0,3,2,2,3,0,1,2,1,2,3
126,1,0,0,0,1,1,2,1,1,0,0,0,0
127,4,1,2,2,2,2,2,2,2,2,2,2,1
128,1,0,3,0,2,4,4,0,2,3,3,2,2
129,3,0,1,3,2,4,4,2,3,1,2,2,2
130,2,1,2,2,2,2,1,1,2,2,2,2,2
131,0,0,0,0,2,2,1,2,2,2,1,2,0
132,1,1,0,1,3,3,3,3,1,2,1,2,1
133,1,0,1,0,1,2,1,1,0,1,1,1,1
134,1,0,0,0,0,0,0,2,2,2,0,0,0
135,2,2,2,2,2,2,2,1,2,2,2,2,2
136,2,0,2,0,2,0,2,2,2,3,0,2,4
137,3,0,0,0,2,2,0,1,0,2,0,0,0
138,9,2,2,2,3,2,2,2,2,2,2,2,2
139,2,2,2,2,2,2,3,3,1,3,2,4,3
140,2,0,1,1,2,1,1,2,1,1,1,1,2
141,2,1,3,2,1,2,1,3,3,3,2,2,2
142,4,0,0,0,1,2,2,2,2,1,2,2,1
143,4,5,4,4,4,0,5,2,2,2,4,4,0
