,ground_truth,baseline,baseline_s42,baseline_s985,filt_freq_distro,filt_freq_distro_s42,filt_freq_distro_s985,filt_gen_sent,filt_gen_sent_s42,filt_gen_sent_s985,filt_tgt_ppl,filt_tgt_ppl_s42,filt_tgt_ppl_s985
4967,3,1,2,3,1,2,5,2,2,1,0,1,1
4968,1,0,0,0,3,3,3,4,2,4,1,1,1
4969,2,5,2,2,5,3,5,2,2,2,2,2,5
4970,1,0,0,0,0,0,0,0,0,0,0,0,0
4971,3,0,0,0,1,4,0,3,4,2,2,2,3
4972,1,4,4,4,3,4,2,3,3,2,3,2,2
4973,0,3,0,1,2,2,3,1,1,1,2,2,2
4974,1,1,1,1,3,4,2,1,1,1,2,1,1
4975,6,0,0,0,0,0,0,0,1,1,1,1,0
4976,4,0,3,1,2,2,2,1,2,1,2,1,1
4977,3,3,3,3,4,3,3,2,3,2,3,2,1
4978,1,0,0,0,0,0,3,3,3,4,0,1,0
4979,1,1,2,2,3,2,2,1,2,1,0,1,1
4980,3,1,1,1,1,1,1,1,1,1,1,1,2
4981,2,1,0,0,2,4,2,3,2,4,1,2,1
4982,1,2,2,2,4,2,5,1,1,1,2,2,2
4983,4,1,1,1,1,2,2,1,1,1,1,1,1
4984,2,0,1,0,3,1,3,2,1,2,0,0,3
4985,1,0,0,0,3,3,1,2,1,1,2,2,2
4986,1,2,2,1,4,0,2,1,0,1,1,1,2
4987,3,1,2,2,3,2,3,1,1,1,2,2,2
4988,1,0,0,0,2,1,7,0,1,0,1,1,3
4989,1,0,0,0,2,2,1,1,1,3,0,1,0
4990,1,0,0,0,3,3,4,2,2,3,1,3,2
4991,2,0,0,0,2,2,2,1,1,1,0,0,0
4992,5,5,2,5,1,3,2,3,3,5,3,3,3
4993,2,1,2,3,4,5,5,4,3,4,4,4,4
4994,3,0,0,0,2,4,2,2,0,2,3,2,2
4995,2,0,0,0,0,1,0,0,0,0,0,0,1
4996,0,0,0,0,1,2,1,2,2,1,1,1,1
4997,2,1,2,1,3,2,2,3,2,3,3,3,3
4998,1,1,2,1,2,2,1,2,2,3,2,2,2
4999,0,0,0,0,4,4,5,1,3,3,1,5,1
5000,2,1,2,1,1,1,1,4,4,5,3,4,2
5001,1,1,3,4,5,2,5,2,2,2,2,2,1
5002,1,0,3,1,1,0,0,0,0,0,1,0,0
5003,3,1,2,1,1,2,2,3,3,3,1,1,1
5004,0,1,0,1,2,3,2,2,2,1,3,2,3
5005,1,0,0,0,2,2,2,2,3,2,3,2,2
5006,3,3,3,3,2,2,2,3,2,0,1,2,2
5007,2,1,1,1,1,1,1,1,1,1,1,1,1
5008,0,0,0,0,2,2,1,3,1,2,1,0,2
5009,4,1,2,0,4,5,4,1,4,1,3,2,4
5010,5,1,1,1,2,2,3,1,2,1,1,1,1
5011,1,0,0,0,0,0,0,0,0,0,1,0,0
5012,0,0,0,0,2,2,2,2,2,2,2,1,1
5013,2,1,0,1,3,3,4,4,4,2,1,2,2
5014,2,0,0,0,3,4,2,1,2,1,1,0,1
5015,4,0,0,0,1,3,3,1,2,4,1,1,3
5016,3,1,1,1,4,4,6,2,2,2,2,3,4
5017,2,2,1,2,2,2,2,3,3,3,2,2,2
5018,3,3,3,3,3,3,3,5,5,6,7,4,4
5019,1,1,0,0,0,1,0,1,0,1,2,2,2
5020,0,0,0,0,0,0,0,0,0,0,0,0,0
5021,1,0,0,0,2,0,2,3,2,0,1,1,1
5022,0,0,0,0,0,0,1,0,0,0,0,0,0
5023,1,1,1,1,3,3,1,4,3,1,2,3,2
5024,4,3,2,1,3,3,3,3,3,3,2,2,3
5025,2,0,0,0,0,0,0,0,0,0,0,0,0
5026,1,1,1,2,2,2,2,2,2,2,1,2,1
5027,2,1,1,1,2,4,4,3,2,2,2,2,2
5028,0,2,1,3,2,2,3,2,5,1,2,2,2
5029,2,2,2,2,1,2,2,4,3,2,2,2,3
5030,2,0,1,1,1,1,1,1,1,1,2,2,1
5031,2,2,1,1,3,2,3,3,1,2,2,2,2
5032,3,1,0,0,1,4,2,0,0,0,2,2,0
5033,2,0,1,0,2,2,2,0,1,0,1,1,1
5034,1,1,1,1,4,4,6,1,1,4,4,3,4
5035,6,1,3,2,3,1,3,2,2,3,1,1,1
5036,1,0,2,0,1,2,1,2,3,2,1,1,1
5037,2,0,0,0,1,1,2,1,0,1,2,2,1
5038,0,0,0,0,2,2,3,2,2,3,1,3,1
5039,5,5,3,4,8,7,9,3,3,4,3,3,3
5040,2,3,3,3,2,2,0,4,3,1,3,2,1
5041,0,3,2,4,3,3,3,3,3,3,3,3,3
5042,2,0,1,0,2,3,2,2,3,2,1,3,2
5043,3,0,1,0,2,2,2,3,1,1,1,2,1
5044,1,0,0,0,2,4,0,0,1,2,2,2,2
5045,2,1,2,2,2,1,3,1,3,1,2,2,3
5046,0,0,0,0,0,0,1,3,3,3,0,1,0
5047,0,0,1,1,1,2,1,1,2,1,1,2,1
5048,1,4,3,3,3,1,2,2,2,2,2,3,3
5049,1,0,0,0,1,2,1,1,2,2,0,1,1
5050,3,1,2,1,3,1,3,1,1,1,1,1,0
5051,2,1,1,4,1,4,1,3,2,2,2,5,2
5052,3,0,0,0,1,2,1,2,2,3,1,1,1
5053,0,0,0,0,0,1,0,0,0,0,0,1,0
5054,3,3,4,3,3,4,3,4,1,3,3,3,2
5055,0,0,0,0,0,0,0,0,0,0,0,0,0
5056,2,1,1,1,1,1,1,2,2,1,2,2,2
5057,1,2,2,1,0,2,2,1,1,2,3,3,2
5058,1,1,1,1,2,0,2,2,2,2,2,1,0
5059,1,0,1,0,1,1,1,1,1,1,0,2,1
5060,2,1,0,0,1,2,2,1,0,1,1,1,1
5061,2,0,0,0,2,1,0,0,0,2,1,1,2
5062,1,1,0,1,4,2,2,2,2,2,2,2,2
5063,2,0,0,0,1,0,0,1,1,2,0,0,0
5064,1,0,0,2,2,2,2,1,1,1,2,2,2
5065,2,3,3,3,2,1,2,2,3,3,1,1,1
5066,1,2,2,2,2,3,3,1,1,2,1,2,2
5067,4,1,1,1,1,4,3,2,2,1,1,2,2
5068,2,0,0,0,2,1,1,0,0,0,0,0,1
5069,2,1,1,2,3,3,3,2,0,2,0,1,0
5070,2,0,0,0,1,0,1,2,2,1,1,0,1
5071,1,2,1,2,2,1,1,4,2,3,2,0,0
5072,0,0,1,2,2,3,1,4,1,3,1,2,1
5073,3,0,0,0,2,3,2,1,2,3,0,1,2
5074,1,1,1,1,1,1,1,2,1,2,1,1,1
5075,0,0,0,0,1,2,1,1,3,1,2,1,1
5076,0,0,0,2,4,3,2,3,2,2,1,2,2
5077,2,2,2,2,2,2,3,2,2,2,1,1,1
5078,3,3,4,3,4,2,5,2,2,5,2,2,2
5079,3,4,4,1,5,4,5,4,3,4,4,6,2
5080,0,1,1,1,0,1,1,1,1,1,1,0,3
5081,2,2,1,1,1,1,1,1,1,1,0,1,2
5082,2,0,0,0,2,3,2,4,2,4,1,1,3
5083,1,1,1,0,3,2,0,1,3,0,2,1,3
5084,0,0,0,0,2,3,2,1,1,1,1,1,1
5085,1,0,0,0,0,1,0,2,2,0,0,1,3
5086,0,3,2,1,3,2,2,2,3,3,3,2,2
5087,5,3,2,5,3,3,4,2,3,1,3,4,4
5088,1,0,2,0,2,2,3,1,2,3,1,2,2
5089,1,0,0,0,4,2,5,4,5,4,2,4,4
5090,2,1,1,1,1,1,1,1,1,1,1,1,1
5091,1,1,1,1,1,1,1,1,1,1,1,1,1
5092,2,3,1,0,2,1,2,1,3,2,1,2,3
5093,1,1,0,1,2,3,2,1,2,1,1,1,2
5094,1,0,0,0,2,2,2,2,2,2,2,2,1
5095,1,0,0,0,1,1,1,1,2,2,0,1,1
5096,0,1,1,0,2,2,1,1,4,1,1,2,2
5097,1,1,1,0,3,3,3,3,2,4,2,2,2
5098,1,1,2,2,2,2,2,2,2,2,3,1,1
5099,2,0,0,0,1,2,1,1,1,1,0,1,0
5100,1,0,0,0,2,2,2,2,2,2,1,2,0
5101,2,0,0,0,2,2,3,2,1,2,2,1,2
5102,2,0,0,0,0,0,0,0,0,0,2,0,0
5103,1,3,3,3,2,2,2,3,3,2,3,3,3
5104,1,0,0,1,1,4,3,2,0,1,2,6,2
5105,3,0,0,0,1,0,2,1,1,1,0,0,0
5106,2,0,0,0,0,0,0,0,0,0,0,0,0
5107,2,0,0,0,3,1,1,0,0,1,2,2,1
5108,2,1,1,1,2,3,3,3,2,1,2,2,2
5109,2,2,0,2,2,4,1,2,2,2,2,4,1
5110,1,3,2,2,4,4,4,1,1,2,2,2,2
5111,2,3,3,3,3,3,3,3,5,3,3,3,0
5112,3,2,1,2,2,2,2,4,1,2,2,4,2
5113,1,0,0,0,1,1,1,0,1,1,0,0,0
5114,3,0,0,0,2,2,2,1,2,4,1,1,1
5115,2,1,1,1,2,2,3,2,2,2,2,2,2
5116,0,0,0,0,0,0,0,0,0,0,1,0,2
5117,5,2,1,1,1,1,1,2,2,1,2,2,2
5118,5,3,4,4,4,4,4,4,4,3,4,4,5
5119,0,3,3,5,2,2,1,3,2,2,2,2,4
5120,3,0,0,0,2,3,2,2,2,2,1,1,1
5121,4,2,3,3,2,4,3,2,2,2,2,1,2
5122,5,1,2,1,5,2,3,2,2,2,2,2,2
5123,1,0,0,0,1,1,0,1,2,1,1,1,0
5124,2,0,0,0,2,2,2,2,2,2,1,2,1
5125,2,3,2,1,2,2,4,4,3,1,1,1,3
5126,2,1,3,1,2,2,2,2,3,2,1,1,1
5127,0,0,1,0,2,2,2,5,3,3,1,1,2
5128,3,2,2,2,2,2,2,2,2,2,2,2,2
5129,2,2,0,2,1,2,1,3,2,0,2,3,1
5130,0,0,3,2,2,2,2,2,2,2,2,1,1
5131,4,6,6,6,2,8,5,6,6,5,5,6,5
5132,4,0,0,0,4,2,2,2,4,2,2,0,2
5133,1,0,0,0,2,0,0,0,0,1,0,1,0
5134,3,1,1,1,2,2,2,1,2,2,2,2,2
5135,1,0,0,0,0,1,0,0,1,1,1,0,1
5136,0,0,0,0,1,2,1,4,2,3,2,0,1
5137,5,4,4,5,4,4,0,4,3,2,4,0,0
5138,1,1,1,1,2,5,5,3,2,2,2,1,2
5139,0,0,0,0,2,1,2,1,0,1,0,1,1
5140,4,0,0,0,2,1,1,0,2,2,2,1,0
5141,4,4,4,4,4,6,4,4,3,5,4,4,3
5142,0,3,3,4,4,2,6,1,3,1,3,2,0
5143,0,0,0,0,2,0,3,1,2,2,1,1,1
5144,1,0,0,0,4,2,0,3,3,2,0,2,1
5145,0,0,0,0,2,3,1,2,2,2,0,1,1
5146,2,4,1,1,1,2,2,2,2,1,2,3,4
5147,3,1,1,1,1,4,3,2,1,1,1,0,2
5148,1,0,0,1,2,3,3,1,1,0,1,1,2
5149,1,1,1,1,5,2,5,2,3,1,1,1,1
5150,1,0,0,0,0,0,2,3,2,3,1,0,0
5151,1,0,0,1,2,1,2,1,2,1,2,2,2
5152,0,1,1,1,1,1,1,1,1,0,1,1,0
5153,1,2,2,3,5,2,3,5,2,2,2,2,2
5154,1,0,0,1,2,2,2,3,3,2,2,1,1
5155,2,2,0,3,1,4,2,2,3,2,2,2,2
5156,3,1,1,3,2,2,2,1,2,2,2,2,3
5157,1,2,2,1,3,4,1,3,2,3,3,3,3
5158,0,0,0,0,1,1,1,3,0,2,1,1,0
5159,3,2,1,2,3,3,3,1,2,2,2,2,2
5160,2,0,0,0,1,1,1,1,1,1,1,1,1
5161,1,1,1,1,0,0,1,0,1,1,0,0,0
5162,0,1,0,0,2,1,2,1,2,2,1,3,1
5163,4,1,0,0,4,3,5,2,2,1,2,2,2
5164,3,0,1,0,2,2,2,2,3,4,1,3,4
5165,2,1,1,1,2,2,2,2,2,2,2,2,2
5166,1,1,0,1,2,1,2,4,2,3,3,3,3
5167,2,1,2,2,2,3,2,2,1,3,1,2,2
5168,3,5,3,2,2,0,3,3,3,3,2,0,0
5169,1,0,0,0,0,2,3,1,2,1,2,3,3
5170,0,0,0,0,0,0,1,0,0,0,0,1,0
5171,1,2,3,2,1,1,1,1,2,2,2,1,1
5172,0,1,1,1,2,0,1,2,0,0,1,1,2
5173,1,1,0,0,2,2,1,2,1,2,1,3,2
5174,1,0,0,1,2,3,2,1,3,3,1,2,2
5175,1,0,1,1,3,2,4,2,2,3,2,2,2
5176,0,0,0,1,4,4,4,3,3,2,1,4,3
5177,0,3,3,2,3,1,3,1,2,1,2,2,1
5178,3,0,0,2,2,0,2,5,5,4,1,2,0
5179,3,3,2,2,2,2,2,1,1,1,2,2,2
5180,0,0,0,0,0,0,0,1,0,0,0,0,0
5181,2,0,2,0,5,4,4,2,2,2,2,2,2
5182,1,0,1,2,1,0,2,4,2,4,1,2,1
5183,1,0,0,0,2,2,1,1,0,1,2,1,1
5184,3,0,0,0,4,2,1,1,0,0,1,3,1
5185,1,0,0,0,1,1,1,1,1,1,1,1,1
5186,1,1,2,2,4,4,4,3,3,3,4,4,2
5187,0,0,0,1,2,0,3,0,1,1,1,1,1
5188,3,0,0,0,5,4,4,2,2,1,3,3,3
5189,2,2,3,2,2,2,2,2,2,2,2,2,2
5190,0,0,0,0,0,1,0,2,1,2,2,2,2
5191,1,1,1,1,4,4,4,2,2,2,0,0,1
5192,1,0,0,0,0,0,0,1,0,0,0,0,0
5193,0,1,1,1,4,4,3,4,3,3,2,3,3
5194,3,1,4,3,2,0,2,3,3,2,1,1,1
5195,4,1,3,2,3,3,2,1,2,5,4,2,4
5196,2,2,1,1,1,1,0,2,2,2,0,3,2
5197,2,0,0,0,1,2,2,0,1,0,3,1,1
5198,1,0,1,0,2,2,2,3,2,2,1,0,2
5199,1,1,0,1,0,3,6,2,2,2,1,1,4
5200,1,1,1,1,2,3,2,2,2,2,3,3,1
5201,0,1,1,1,1,0,2,3,2,2,2,2,2
5202,4,3,0,4,2,2,2,3,2,2,2,4,4
5203,2,1,1,2,2,3,2,2,3,2,2,2,1
5204,2,0,1,2,2,1,2,2,2,2,0,1,1
5205,2,2,1,1,3,0,3,3,2,2,1,0,2
5206,0,0,0,0,2,2,2,1,1,1,1,1,1
5207,1,0,0,0,2,2,0,2,2,1,1,1,2
5208,2,3,0,2,1,2,0,1,0,2,2,2,2
5209,1,0,1,0,1,2,3,2,0,2,1,1,3
5210,4,0,0,0,1,2,0,3,3,0,0,0,1
5211,2,0,1,1,2,1,1,1,0,1,1,2,1
5212,1,0,0,0,2,2,2,3,2,2,1,1,1
5213,0,1,2,1,3,5,4,4,4,4,4,0,3
5214,0,1,0,0,2,2,1,2,4,1,2,4,1
5215,3,0,1,3,1,2,1,3,2,1,1,1,1
5216,2,2,1,1,2,3,1,1,1,1,3,3,3
5217,0,1,0,1,1,2,2,1,1,0,5,5,1
5218,2,0,0,0,1,0,1,2,0,0,1,2,2
5219,0,1,1,2,2,1,2,2,1,0,3,3,3
5220,2,1,3,1,2,2,2,2,2,2,0,0,0
5221,1,0,0,1,5,3,2,1,3,1,3,2,2
5222,2,0,1,0,1,2,2,2,1,2,2,0,0
5223,3,1,2,2,3,3,2,1,2,2,2,2,2
5224,3,1,0,0,1,2,1,1,0,0,0,0,0
5225,0,0,0,0,4,4,1,1,0,1,3,0,3
5226,0,0,0,0,2,0,2,3,1,1,3,0,1
5227,3,1,1,1,0,0,0,0,2,1,0,0,1
5228,1,1,1,1,3,2,3,1,1,1,2,2,2
5229,1,1,1,1,2,2,2,1,2,1,2,2,2
5230,0,1,0,0,0,0,0,1,0,0,0,0,1
5231,3,1,1,1,5,1,6,4,5,4,4,5,5
5232,2,1,1,1,2,2,3,1,1,1,1,1,1
5233,0,1,0,0,3,3,1,3,3,2,2,2,2
5234,1,0,0,0,3,1,5,2,3,2,3,3,3
5235,0,1,0,0,0,1,2,0,1,3,2,0,1
5236,0,0,0,0,3,3,3,1,2,1,3,1,2
5237,1,2,1,1,3,2,3,2,4,3,2,3,0
5238,3,2,2,2,2,2,2,1,2,0,3,1,1
5239,1,2,2,2,2,2,2,2,2,3,1,2,1
5240,0,0,0,0,1,0,1,1,0,0,0,0,1
5241,4,1,2,0,2,2,4,1,2,2,1,1,3
5242,2,0,0,0,2,0,0,1,1,1,1,1,1
5243,2,1,2,1,3,2,4,2,2,2,1,1,1
5244,3,2,2,3,2,2,3,2,2,3,1,2,2
5245,2,1,0,1,2,2,2,2,2,2,0,0,0
5246,2,0,0,0,2,2,2,2,3,2,0,0,0
5247,2,1,1,1,4,2,3,4,2,5,3,3,4
5248,2,2,2,2,1,1,2,2,2,2,1,1,2
5249,2,2,2,2,2,1,2,2,2,2,3,1,1
5250,1,1,0,0,1,0,0,0,0,0,1,0,1
5251,4,1,0,0,5,5,5,3,4,3,3,3,2
5252,3,1,2,2,7,5,6,2,2,2,2,2,2
5253,4,2,0,3,2,3,0,3,3,3,2,0,2
5254,1,1,1,1,2,2,1,2,1,2,1,2,1
5255,0,1,0,1,1,1,1,1,1,1,1,1,1
5256,1,0,0,0,1,2,1,1,1,1,1,0,1
5257,1,0,0,1,2,3,3,3,4,3,1,3,3
5258,1,0,0,0,1,1,0,0,0,1,0,0,0
5259,2,1,0,0,0,1,1,1,2,1,1,0,1
5260,1,1,0,0,2,2,2,2,1,2,2,2,2
5261,6,3,3,1,3,3,2,1,1,1,1,1,0
5262,2,4,3,4,4,4,4,5,4,4,4,0,0
5263,1,0,0,0,1,2,3,0,1,0,1,2,1
5264,0,0,0,0,0,1,0,1,1,2,1,0,0
5265,1,0,0,0,0,3,4,3,3,2,4,2,4
5266,2,0,0,0,2,1,2,2,2,0,1,1,1
5267,4,2,2,2,1,1,1,2,9,6,2,2,1
5268,5,2,3,3,3,4,2,2,2,2,3,3,3
5269,4,0,0,0,1,1,1,1,1,1,0,1,0
5270,2,0,0,0,2,2,2,3,2,3,1,0,1
5271,3,2,2,2,2,3,2,1,2,2,2,0,2
5272,1,0,0,0,3,2,2,4,3,3,2,2,2
5273,1,1,1,1,2,2,3,1,1,1,1,3,1
5274,1,1,1,3,2,2,1,2,1,1,1,1,0
5275,0,0,0,0,1,1,1,2,2,3,2,2,3
5276,3,1,2,1,3,3,4,0,2,1,1,0,1
5277,2,1,1,1,3,2,1,2,1,1,2,1,1
5278,3,1,0,0,1,2,1,2,2,2,2,2,1
5279,3,4,1,2,4,2,4,2,2,2,2,2,3
5280,0,1,0,0,2,4,4,3,2,3,2,0,0
5281,0,4,0,0,4,4,3,4,2,2,2,4,4
5282,1,0,0,0,2,1,1,1,1,1,0,1,1
5283,0,0,0,0,0,1,1,1,0,0,1,1,1
5284,1,0,0,0,2,2,1,1,2,3,2,2,1
5285,3,0,0,0,2,2,2,1,1,0,2,2,1
5286,0,2,1,4,1,2,2,1,1,2,3,2,3
5287,3,2,2,2,2,3,3,2,2,2,1,2,2
5288,2,0,0,1,2,2,4,3,3,2,1,2,1
5289,1,0,0,0,1,1,1,1,1,1,0,0,1
5290,4,3,3,3,2,3,4,3,3,3,2,3,3
5291,1,1,0,0,1,2,3,1,1,2,2,2,2
5292,2,3,2,3,0,0,4,2,2,2,2,2,3
5293,1,4,2,2,3,3,1,2,2,1,3,2,2
5294,1,1,1,2,2,1,3,2,2,2,0,0,0
5295,4,1,3,3,2,2,2,1,2,2,1,2,1
5296,2,3,2,2,3,2,3,1,1,2,3,4,3
5297,0,0,0,0,4,1,1,2,0,0,1,1,1
5298,3,2,2,2,2,2,2,2,1,2,1,2,2
5299,0,0,0,0,0,0,0,0,0,0,0,0,0
5300,1,1,2,1,3,2,3,2,1,2,2,4,1
5301,2,0,0,0,2,0,2,2,0,0,0,1,1
5302,1,1,0,2,2,2,2,2,2,2,1,2,2
5303,2,3,3,3,2,2,1,4,2,2,1,3,1
5304,1,0,0,0,1,3,0,3,1,0,1,0,0
5305,3,0,0,1,1,1,1,0,3,0,1,1,1
5306,3,0,0,0,2,1,4,3,1,2,3,2,2
5307,2,1,1,1,1,1,1,2,3,0,0,1,2
5308,1,0,0,0,2,1,5,2,2,1,0,2,1
5309,0,1,1,1,1,1,1,3,2,2,1,0,1
5310,1,0,0,0,2,2,2,1,1,1,1,1,0
5311,2,1,1,1,2,2,2,2,1,1,2,1,1
5312,0,0,0,0,3,2,1,1,0,3,2,1,2
5313,3,0,0,1,2,0,0,0,0,1,0,0,0
5314,2,1,1,1,1,2,1,1,2,2,2,2,2
5315,2,4,4,4,2,2,3,3,4,2,4,4,3
5316,1,1,0,2,1,1,2,0,1,0,0,0,1
5317,2,4,4,4,4,4,5,2,2,2,3,3,4
5318,0,0,0,0,0,2,2,4,1,0,1,1,1
5319,2,1,2,2,3,2,1,1,1,1,0,0,3
5320,0,0,1,1,1,1,1,2,3,3,1,1,1
5321,2,2,3,2,3,2,4,2,2,3,2,2,1
5322,1,0,0,0,0,0,0,1,1,1,1,0,1
5323,1,0,0,0,1,0,1,0,0,0,1,2,2
5324,7,1,1,2,2,4,3,3,2,2,2,2,3
5325,1,1,0,1,1,2,2,1,2,2,1,1,1
5326,2,0,0,0,1,1,1,2,1,1,1,1,1
5327,2,1,1,0,0,1,1,0,1,0,1,0,1
5328,4,0,3,1,1,1,2,1,2,2,2,2,1
5329,1,2,2,2,3,3,1,2,2,2,2,3,1
5330,2,1,1,1,2,1,2,1,1,1,1,1,1
5331,4,0,2,0,2,1,2,3,3,2,4,1,1
5332,1,1,1,1,2,2,2,3,2,3,2,2,2
5333,2,2,2,2,2,2,2,3,4,4,2,1,1
5334,4,2,1,0,3,1,2,2,1,3,2,3,3
5335,4,3,3,3,3,3,3,3,5,4,3,3,3
5336,2,0,0,0,1,2,2,1,1,1,2,1,1
5337,1,0,0,0,2,2,2,2,3,2,2,1,1
5338,2,2,2,2,2,0,2,4,1,2,2,2,2
5339,4,0,0,0,1,0,2,3,3,2,1,1,1
5340,1,0,1,1,3,2,3,2,3,1,1,2,0
5341,0,0,0,0,2,1,1,2,2,1,0,0,1
5342,0,0,0,0,3,3,3,2,2,2,3,2,2
5343,2,2,2,2,1,2,2,2,2,1,2,2,2
5344,2,1,2,1,2,2,1,2,2,2,1,1,2
5345,4,0,0,0,2,1,1,1,1,1,0,0,1
5346,1,0,0,0,2,2,2,1,2,1,0,1,0
5347,2,2,2,2,2,2,2,2,3,2,3,0,3
5348,0,2,2,2,2,2,2,2,2,1,1,2,1
5349,3,2,2,2,4,4,4,4,5,5,3,2,2
5350,2,3,3,5,5,4,5,3,3,3,3,3,3
5351,1,1,1,1,2,3,2,3,3,3,2,3,2
5352,1,3,2,3,2,2,3,2,2,1,0,1,1
5353,2,0,1,1,2,6,3,2,2,1,1,2,3
5354,4,2,1,2,3,2,2,4,4,3,2,2,3
5355,3,5,3,1,5,3,3,3,3,3,3,4,2
5356,1,0,0,0,1,2,4,2,2,3,1,1,2
5357,1,0,0,0,0,0,0,1,1,1,1,0,1
5358,0,0,0,0,1,3,3,1,2,0,0,2,1
5359,1,0,1,1,1,2,1,1,0,2,2,2,2
5360,1,0,0,0,4,3,2,1,2,2,0,2,3
5361,0,0,0,0,0,0,1,2,4,2,0,0,2
5362,1,1,0,0,4,2,2,2,2,2,1,1,3
5363,1,0,0,0,2,2,2,2,4,3,3,1,3
5364,3,1,1,1,3,3,1,2,3,3,3,3,3
5365,0,1,1,1,1,2,2,2,2,2,2,2,2
5366,0,0,0,0,0,1,0,1,1,1,1,1,0
5367,1,0,2,2,2,2,2,3,3,1,0,1,1
5368,3,0,0,0,1,2,2,1,0,1,1,1,1
5369,2,1,0,1,3,0,2,1,1,0,0,0,0
5370,4,1,1,1,5,5,3,2,2,2,3,2,2
5371,3,3,3,3,3,3,3,3,2,3,3,0,0
5372,0,1,3,1,0,1,0,2,2,1,0,1,1
5373,0,0,0,0,0,3,0,4,0,1,2,2,2
5374,2,1,0,0,1,2,1,0,0,1,2,0,0
5375,2,2,2,1,1,1,0,1,0,0,0,1,1
5376,2,0,0,2,4,3,1,3,3,3,2,2,1
5377,4,1,3,3,5,4,4,2,2,2,1,3,3
5378,1,2,2,0,0,2,2,4,4,4,2,2,2
5379,2,1,1,1,4,2,4,3,3,2,2,2,2
5380,2,1,2,2,2,2,2,2,2,2,2,2,2
5381,4,0,0,0,1,3,1,2,2,2,2,2,1
5382,2,0,1,1,1,1,1,0,0,1,0,2,0
5383,1,0,0,2,2,2,1,1,2,2,1,1,1
5384,0,0,0,0,2,2,1,2,1,1,1,1,1
5385,0,0,0,0,4,5,4,4,3,2,4,5,4
5386,4,0,0,0,2,2,2,1,1,1,1,1,1
5387,0,0,0,0,2,2,2,3,0,3,1,2,2
5388,2,0,0,0,2,2,2,1,2,2,1,1,1
5389,3,1,1,1,2,2,1,3,2,1,0,1,0
5390,3,0,0,0,1,1,1,0,0,1,3,0,1
5391,1,2,3,2,4,2,2,2,3,3,2,2,1
5392,0,1,1,1,1,2,2,2,3,3,2,2,2
5393,2,1,1,3,3,2,3,3,2,4,3,3,4
5394,0,0,1,1,2,3,5,2,3,3,1,3,2
5395,1,0,0,0,0,1,1,0,0,0,0,2,2
5396,1,2,2,1,2,2,3,2,2,2,1,1,1
5397,4,0,1,1,3,1,1,3,2,3,0,0,2
5398,0,0,0,0,0,4,0,0,1,1,0,0,0
5399,1,0,1,5,4,2,5,1,1,4,3,0,1
5400,7,1,3,2,1,0,1,2,2,2,1,3,3
5401,0,0,0,0,1,2,1,1,2,2,1,1,1
5402,3,3,3,4,4,1,4,3,3,3,3,0,0
5403,1,2,2,2,2,2,2,2,2,1,2,2,2
5404,2,1,1,1,3,3,3,1,5,1,3,1,1
5405,2,2,2,2,2,1,2,3,2,2,2,2,2
5406,2,1,1,4,4,4,3,3,2,4,0,3,4
5407,2,2,2,2,3,2,1,4,2,2,4,5,4
5408,2,0,0,3,3,1,2,3,2,2,0,1,1
5409,1,1,1,0,1,3,2,2,3,2,3,3,2
5410,2,3,3,3,3,3,3,3,3,3,3,3,3
5411,4,3,0,0,0,4,3,1,3,3,2,2,3
5412,3,1,1,1,5,6,4,3,2,4,3,2,3
5413,2,3,0,2,1,2,1,2,2,1,3,2,1
5414,0,0,0,0,1,1,1,1,1,2,1,1,1
5415,2,0,0,0,0,1,0,1,0,0,1,1,1
5416,0,1,0,0,1,2,1,3,2,4,1,1,2
5417,2,2,2,1,1,1,2,2,2,2,1,1,1
5418,0,0,0,2,1,2,2,2,2,2,2,2,0
5419,0,3,3,3,3,3,3,5,4,5,3,3,3
5420,2,1,1,1,3,2,3,3,2,2,2,2,2
5421,0,0,0,1,2,4,2,3,2,2,2,2,2
5422,4,1,1,1,4,2,4,1,2,2,2,2,1
5423,0,1,1,2,3,0,3,5,4,5,2,2,2
5424,1,0,0,0,1,2,1,5,2,1,2,1,2
5425,1,4,4,4,4,4,4,4,5,3,4,0,0
5426,1,0,0,0,2,2,1,4,3,1,3,2,2
5427,4,0,0,0,0,1,0,1,1,0,0,0,0
5428,1,0,0,0,0,1,0,0,0,0,0,0,0
5429,2,0,0,0,2,2,2,0,2,0,2,2,1
5430,3,2,0,2,2,2,2,1,2,2,4,3,2
5431,1,0,0,1,2,2,2,2,2,1,1,3,2
5432,2,0,0,0,2,0,0,3,3,3,2,3,3
5433,2,0,0,0,2,2,2,3,1,2,1,2,2
5434,2,0,2,0,2,2,1,1,1,1,1,2,0
5435,1,1,2,1,4,2,1,1,2,2,3,1,1
5436,0,0,0,0,1,2,0,0,0,0,1,2,2
5437,2,0,0,0,1,1,1,2,1,2,1,0,0
5438,3,0,0,0,1,0,0,0,0,0,2,0,1
5439,5,3,3,3,3,2,2,4,2,5,3,1,2
5440,2,0,0,0,2,2,2,1,3,1,1,2,1
5441,4,2,2,2,3,2,3,2,3,3,2,3,1
5442,4,2,2,2,3,2,3,3,2,3,3,1,1
5443,3,0,0,0,0,1,1,1,1,1,1,1,1
5444,2,2,2,2,3,3,1,1,1,1,1,2,2
